FTC  Robot Bill of Material,
,
Team Number: ,7155
"Please list any non-TETRIX® or non-MATRIX® parts and provide this list to the hardware inspector.    

(Tip: make two copies, keep one in your Engineering Notebook, bring the other to Hardware Inspection).",
Part Description,Game Rule / Forum Reference
"80/20 1010 Fractional T-Slotted Aluminium Profiles, Cut","Game Manual pt. 1: <R04.a>,  <R04.e>"
"80/20 1020 Fractional T-Slotted Aluminium Profiles, Cut","Game Manual pt. 1: <R04.a>,  <R04.e>"
"80/20 Linear Bearings, cut","Game Manual pt. 1: <R04.a>,  <R04.e>"
"Lexan Policarbinate, cut","Game Manual pt. 1: <R04.b>,  <R04.e>"
VEX EDR Angle 3x3x35,Game Manual pt. 1: <R04.a>
2 Andymark AM-2964 Motors,Game Manual pt. 1: <R09.b>
VEX Pulleys,Game Manual pt. 1: <R04.a>
"Anawalt 25 Foot 1/16 Steel Cable, Cut","Game Manual pt. 1: <R04.b>,  <R04.e>"
True Value Wire Clamps,Game Manual pt. 1: <R04.a>
True Value Wire Crimps,Game Manual pt. 1: <R04.a>
